time	text
00:00:00.000	 You
00:00:30.000	 I
00:00:42.000	 Hey chat
00:00:54.720	 Notifications off. What does that mean?
00:01:00.000	 You
00:01:14.000	 New whistle top tag dropped
00:01:16.000	 I
00:01:28.000	 Saw a little bit of it
00:01:30.000	 It looks ridiculously insanely hard
00:01:34.000	 It looks so hard. It can't possibly be fun. I think she's just trying to squeak when it's right
00:01:52.000	 But
00:02:00.000	 the
00:02:05.440	 show the dog I don't think she wants to be shown
00:02:10.000	 think it over here yeah she doesn't want to be shown
00:02:16.000	 so I'd like to do time trials and other stuff but I haven't played in a while so
00:02:31.680	 let's just do some fucking races for a little bit of a storm up
00:02:35.360	 I know we probably won't win on any tracks that I have in time trial but
00:02:48.960	 I'll be lucky
00:02:58.960	 I like this bike
00:03:06.960	 what I'm gonna start doing I know that I wanted to just do one time trial a day
00:03:11.360	 I haven't been able to play in a little bit which is kind of annoying
00:03:14.960	 although yesterday I totally could play it and we didn't
00:03:18.960	 so I guess it's not a pretty fair assessment but I'd like to do like a
00:03:26.640	 handful of time trials a day to a low level just so that I can understand the
00:03:31.440	 way that the track has meant to be played and maybe like see a couple of
00:03:35.040	 side paths that are good that people use
00:03:43.040	 am I better on you too? I play better on you too
00:03:51.040	 because we cut all the parts where I suck at let's just funny
00:03:57.040	 Jack the big boy things we said
00:04:00.000	 is that are in the park as well
00:04:03.000	 you're subredact hot you play a deluxe the other day
00:04:11.000	 I haven't played a deluxe since this game came out I played it
00:04:15.000	 someone was telling me that they saw me playing twos the kingdom that's not me
00:04:19.000	 I haven't played twos the kingdom and like forever
00:04:23.000	 I haven't played it I played a deluxe probably like ten days before this game came out
00:04:32.000	 and I was digging and I like it I still think I could do it again
00:04:36.000	 Holy shit how can I not play this race yet
00:04:54.000	 This game is like jets at radio or like Tony Hawk Trosket or racing
00:05:01.000	 like the shit you can do this game is so weird I can't believe this
00:05:05.000	 like they actually went this route they like smash melee this game without meaning to
00:05:11.000	 like this shit is so like high potential hardcore like weird with the fucking wall riding
00:05:19.000	 like if they actually made maps and I mean some of the time-traum maps are
00:05:24.000	 but like when you play knockout and all the tracks are just like straight lines
00:05:28.000	 like most of the time you can't do any crazy cuts
00:05:31.000	 but like if the maps were like really condense with tons of rams and shit
00:05:34.000	 it's like you'd be able to do such crazy shit constantly
00:05:37.000	 because there's no cool down to like any of the wall jumps you can do
00:05:41.000	 there's no way they meant to I bet they nerfed and they make it so like when you're
00:05:50.000	 grinding like one person at the time you just slip in like place plan
00:05:54.000	 that sounds like something to do
00:06:00.000	 Well, I can't believe the game will let me race.
00:06:03.500	 What the fuck have been here for like five minutes?
00:06:07.000	 I haven't seen an Nintendo direction like forever.
00:06:15.000	 I'm already excited for Donkey Kong, you know, so I don't really feel like I need to watch you directly.
00:06:21.000	 Wistletop has some tech that's so advanced, saves so much time and is so annoying.
00:06:35.000	 That you're pretty much a pussy if you don't try and just do it, but the amount of enjoyment and pain,
00:06:46.000	 you're going to get basically no enjoyment grinding it out.
00:06:48.000	 It's going to be extremely painful and you're probably like never going to have a run, never going to have a run,
00:06:55.000	 you're going to have some runs where you hit the trick and then fuck up the easy stuff and it's going to feel like crap.
00:07:01.000	 And then eventually you'll pee pee.
00:07:04.000	 And it'll feel good, but man dude, ah, Jesus Christ.
00:07:10.000	 I'm sure Tyler will get it.
00:07:16.000	 There's a difference though.
00:07:24.000	 Like, for instance, Super R64 is fun to run because there's not some like insane, really low percentage trick.
00:07:35.000	 At least in like some of us, I guess be it like lobby BLJ, but I know some like people that got really good at lobby BLJ and control compares.
00:07:45.000	 It's not that far.
00:07:47.000	 So I've been told, I suck that out.
00:07:58.000	 The difference would be like the comparison.
00:08:00.000	 It's like, I agree it's time.
00:08:01.600	 It's like, I agree it's time to just have some tricks
00:08:02.880	 where it's like, you gotta hit it
00:08:04.720	 if you miss it, you lose so much time
00:08:06.720	 that you run this just to be back in the dead.
00:08:08.960	 It's like, there's no coming back from it.
00:08:12.720	 I have less fun speed running games like that.
00:08:15.440	 If there's just like one really hard,
00:08:17.440	 though percentage trick that you just have to hit.
00:08:21.040	 It's more fun when it's like, just overall movement.
00:08:26.240	 That looks cool.
00:08:30.000	 There's a trade off, though, because a lot of the time if you're trying to hit like one trick,
00:08:45.600	 that decides like everything, the nice thing about that is,
00:08:50.000	 it looks really cool all the time.
00:08:53.040	 And if she looks cool, you know what?
00:09:00.080	 Cover's up for a long.
00:09:13.520	 I think he'll catch one first.
00:09:30.080	 There we go.
00:09:34.080	 You mother fucker.
00:09:44.560	 I'm trying to win.
00:09:49.520	 No protection.
00:09:52.160	 I should have saved it.
00:09:56.800	 I didn't think he was hurt already.
00:10:00.000	 and
00:10:10.000	 you need a choice on every map he won races
00:10:13.000	 yeah, I do feel
00:10:15.000	 one
00:10:44.000	 a lot of you could they're just joining off my friends list
00:10:49.000	 I'm too lazy to add people right now but if you are very persistent
00:10:55.000	 or you just figure out a way to add me
00:10:58.000	 I'll probably add you back next time I go to add people
00:11:05.000	 what's your name
00:11:14.000	 the most I'm going to do with whistle-top is try and like
00:11:19.000	 either one play it today or all try and like basically save state
00:11:25.000	 attempt the new trick just to see what it's like but probably not do runs
00:11:35.000	 if I in front of you it's because you either were I thought that you didn't have a switch to
00:11:45.000	 yeah there's some new trick it seems like a second
00:11:54.000	 then 10 or even up I don't know how to do this if we're just gonna race
00:12:00.000	 the
00:12:10.180	 the
00:12:33.600	 to
00:13:02.560	 to this part, it feels like you're going like 200cc or something.
00:13:16.760	 But actually when this, this will be so lucky because there hasn't been like a blue shell
00:13:19.960	 or anything.
00:13:24.960	 Maybe everyone's trying to do like the really hard tricks that they suck so if you
00:13:32.520	 can.
00:13:39.520	 Uh-oh.
00:13:44.580	 These have a night of two.
00:13:53.920	 Easy tried to do the trick and I think might have failed.
00:14:00.000	 I'm gonna be so sad I don't at least get like top two
00:14:30.000	 there was not a single blue shell that whole race
00:14:41.000	 damn you got a lot better you know what's crazy I didn't at all not at all nothing
00:14:46.720	 fucking changed I just didn't get hit by a blue shell that's it nothing I haven't
00:14:53.840	 practiced at all and that track doesn't have some crazy super bullshit skip that
00:14:58.740	 anyone in this lobby was capable of hitting Dylan is a villain thanks for
00:15:07.940	 so
00:15:18.740	 cap you've been sweating offline I haven't I haven't I wasn't able to play for a
00:15:27.060	 couple days and I was able to play a string because I got shown an MMO called a
00:15:31.700	 Pugia to start playing a little bit lucky monkey thanks to the sub I didn't
00:15:45.940	 play Mario Kart 8 though like I swear I don't understand it's like someone's
00:15:50.180	 impersonating me and for something I like I don't know how to show it but I
00:15:58.980	 I seriously haven't
00:16:00.000	 I don't have it installed on my Switch 2.
00:16:05.000	 I tried rematch and I think it's fun.
00:16:08.000	 I like it a lot but I know that the friends that I have to play with would probably be like Mango's chat and Mango's chat is going to fucking know life this shit out of that game and I'm not.
00:16:21.000	 Plus it's kind of annoying playing those kind of games where you don't have like a set group where it's like your spots always there.
00:16:27.000	 I don't want to be in a group.
00:16:29.000	 Not that they're not like nice guys or anything but I don't want to feel like my spot is taking up the spot from someone else.
00:16:36.000	 If they really don't play because I don't really want to play that bad.
00:16:40.000	 So...
00:16:48.000	 I'm starting shooting.
00:16:51.000	 I'm not really sure.
00:16:56.000	 I play it like an hour you larp is a playmaker.
00:16:59.000	 I wouldn't need a larp due I am a playmaker.
00:17:03.000	 Oh shit.
00:17:13.000	 What the fuck?
00:17:14.000	 I thought you had a mushroom where that came from.
00:17:21.000	 at least it's one of these tracks where it doesn't really matter what happens until you get
00:17:27.480	 to the point.
00:17:28.480	 Did we get the end?
00:17:30.480	 The hammer, girl.
00:17:40.480	 They should make this game so you have to play in the open world the unlocked parts for your
00:17:44.200	 car.
00:17:51.560	 And if you don't want to do that, you have to buy a bunch of them new bows that are shaped
00:17:54.840	 like cart parts.
00:18:00.000	 They'll call it Mario Kart, not even anything else, because we're reimagining the series
00:18:15.280	 and all other Mario Kart's their shit.
00:18:20.000	 And that way we can confuse consumers.
00:18:31.000	 I almost have maximum things.
00:18:35.000	 Oh, yeah.
00:18:44.000	 Once I get around the sternum, pop on this pool of bitch.
00:18:47.000	 Come on, no one lightning, please pop it.
00:18:54.000	 That was the shortest, shittiest bullet bill of my entire life.
00:19:00.000	 I'm embarrassed.
00:19:10.000	 I could have defended myself, but this is a tight turn.
00:19:22.000	 Dude, if you just don't hit me with that, I come in first.
00:19:26.000	 Who the fuck did that?
00:19:28.000	 All that had to have was I don't get hit by that, and I can take the shortcuts to win.
00:19:34.000	 What the fuck?
00:19:38.000	 That would have been satisfying.
00:19:41.000	 Jesus Christ, that was ridiculous timing.
00:19:46.000	 Is the room full?
00:19:47.000	 I don't think so.
00:19:49.000	 Not sure.
00:19:58.000	 Couldn't even hit me in a way so that I could like.
00:20:00.000	 make the jump.
00:20:02.000	 Damn it.
00:20:04.000	 I like this part a lot.
00:20:09.000	 I like bikes in this game too.
00:20:14.000	 I don't understand why you would choose to use a card in this game.
00:20:18.000	 I don't know if it's the stats for the same.
00:20:20.000	 Although maybe there's like small differences I don't know.
00:20:30.000	 I need you to go back to back.
00:20:38.000	 I'm probably not going to go back to back.
00:20:40.000	 I'm especially not going to go back to back.
00:20:43.000	 If there's probably like a handful of people that could join that would make it so I never
00:20:49.000	 would not go back to back.
00:20:50.000	 I'd have to like time trial some shit or get extremely lucky with maps come out.
00:20:56.000	 Like if Mooney joins I'm fucked.
00:20:58.000	 I'm not going to win sooner.
00:21:06.000	 Kim would probably also mess me up but I don't know if they're playing that much right now.
00:21:10.000	 Yeah, I'm going to time trial multiple maps.
00:21:16.000	 I just haven't played in like three days I think.
00:21:20.000	 So I just wanted to do some regular races just to fuck around the world.
00:21:24.000	 That's not fine.
00:21:26.000	 I'm not going to bang my head against the wall with whistle top.
00:21:30.000	 I'm going to probably just learn like I don't know.
00:21:36.000	 I don't know.
00:21:38.000	 Something.
00:21:40.000	 Something that.
00:21:42.000	 Shit.
00:22:00.000	 it was as I get
00:22:05.000	 at bumming
00:22:10.000	 that I miss sick
00:22:13.000	 it's all right, we got time
00:22:16.000	 and I'm got off with sand agon
00:22:27.000	 and I'm just where I can cut a corner
00:22:31.000	 but
00:22:46.000	 I need to get away from all the fucking
00:22:48.000	 randoms, oh my god
00:22:51.000	 I'm like he backed up with that bomb
00:23:02.000	 I didn't even want to look back because I was like I can't really change my movement that much
00:23:07.000	 and I'm pretty sure it's gonna be back
00:23:10.000	 I love
00:23:12.000	 I'm
00:23:19.000	 whoo
00:23:22.000	 whoo
00:23:30.000	 where's the fucking items
00:23:37.000	 I didn't think I was gonna go
00:23:38.000	 someone gonna hit me, I'm 1,000% sure
00:23:42.000	 see I told you I fucking told you
00:23:45.000	 these goddamn stream snipers
00:23:48.000	 please don't hit me, please don't hit me
00:23:53.000	 I'll take it
00:24:00.000	 big boy Ronald thanks to sub.
00:24:07.000	 Well I'm getting some e-Lo back.
00:24:13.000	 That's good.
00:24:15.000	 It's up to you see.
00:24:17.000	 No one is sniping you.
00:24:19.000	 I hate to break it to you but this entire lobby is basically full of people from my
00:24:23.000	 Fred's list.
00:24:26.000	 That guy who ran into me obviously is not directly streamed, but he kind of is.
00:24:36.000	 I can't play with brawl every time I stream.
00:24:41.000	 You don't think gamer girl is sniping me a com-a.
00:24:44.000	 She's sniping.
00:24:47.000	 So you added them, it doesn't matter.
00:24:50.000	 But I can still complain about it.
00:24:53.000	 You can't tell me what not to complain about.
00:25:01.000	 This guy picks DK's space port.
00:25:04.000	 My most hated map, any picks the long version of it.
00:25:09.000	 What a psycho.
00:25:22.000	 I'm trying to see if I can wall jump.
00:25:30.000	 The tiny cards.
00:25:31.000	 I don't think I can jump on top of them.
00:25:43.000	 I love everyone just picks a random now nice fucking game.
00:25:47.000	 Yeah.
00:25:52.000	 At least there's an option.
00:26:00.000	 but you're right it is pretty fucking stupid that was pretty
00:26:10.180	 the
00:26:26.360	 I don't think so.
00:26:36.360	 Sorry dude.
00:26:53.360	 turn
00:27:11.920	 the only guy that's not a stream sniper is the Japanese guy and even he's still
00:27:16.480	 not sure
00:27:28.880	 you can do it trickling jump out of the line
00:27:35.440	 it's pretty good to get lightning here
00:27:46.480	 that was not faster
00:28:00.000	 I was trying something new.
00:28:14.000	 It's height line.
00:28:17.000	 Oh my god, that works so well.
00:28:21.000	 Where did this guy come from? This guy knows some shortcut I don't.
00:28:31.000	 That helps.
00:28:35.000	 Oh man, do that guy's in such a good spot.
00:28:38.000	 You can just cut here, man.
00:28:53.000	 I needed a mushroom.
00:29:01.000	 I needed a sandbag there.
00:29:04.000	 We weren't far enough ahead.
00:29:09.000	 Oh well.
00:29:30.000	 What should you eat for dinner?
00:29:37.000	 You guys hear that?
00:29:50.000	 I don't know Blades.
00:30:00.000	 that's my dog laughing
00:30:12.000	 you know I have a friend who skins their graves before they eat them
00:30:18.000	 you're a psycho if you do that
00:30:28.000	 there's something going on
00:30:34.000	 it's a big getty to you thanks for sub to see things for sub
00:30:43.000	 and
00:30:50.000	 now it's not me
00:30:53.000	 I need graves that often
00:30:59.000	 I
00:31:23.000	 I should have just used those. I don't know what I was thinking.
00:31:36.200	 Dude, I hate this map.
00:31:39.240	 This is a map I should time trial.
00:31:43.560	 I'm sure I've right into that shit so I can't really complain.
00:31:46.040	 I hate to get some coins and hope.
00:31:57.080	 This is a good sandbag now.
00:32:00.000	 I
00:32:11.520	 The thing is like I can't even tell when this ends I'm like look at the map. It's just a bunch of jambles and lines
00:32:22.000	 I mean some of the protects me
00:32:30.000	 I
00:32:48.000	 I shot my load too early man
00:32:52.000	 Damn it
00:32:54.000	 I need to be protection until the very end
00:33:00.000	 I'm losing all my elo again
00:33:16.000	 I just don't know these tracks some of the tracks that I don't know it's like
00:33:24.000	 I don't know there's the difference between like race on the track a couple times and
00:33:27.200	 time-trailing it
00:33:31.200	 I'm sure there's like weird stuff you can do to save a little bit
00:33:35.200	 Plus one thing that's kind of confusing about some of these tracks is
00:33:39.200	 There is slightly different if you play them in like the three lap mode and
00:33:45.200	 If you just pick the map straight up, so like you do like a travel into the map
00:33:57.200	 Like I didn't recognize that final turn will not the final turn
00:34:00.000	 It was like the turn in the water.
00:34:01.400	 Like the final turn in the water.
00:34:02.680	 I didn't recognize how it's tight that was gonna be.
00:34:04.440	 If I took that turn tighter,
00:34:07.320	 maybe I would've been far ahead enough
00:34:08.640	 where I wouldn't have been hit by the Blue Ring
00:34:10.000	 and then I would've got like a top four top five.
00:34:12.120	 Just a bit.
00:34:14.960	 Oh, no.
00:34:19.800	 It could be really small noise.
00:34:21.360	 I'm just gonna go ahead and get the Blue Ring.
00:34:28.360	 Jerome Derry, Colin. Thank you so much.
00:34:36.840	 I'll do a couple more races and then I'll just pick some random track.
00:34:40.640	 I'm probably gonna do time trial on that DK space format
00:34:43.520	 that I really don't like.
00:35:22.040	 I like this map.
00:35:45.480	 I didn't really want to go big until I was on the ground
00:35:47.720	 because I don't think it really gives you much of a speed boost in the air.
00:35:50.280	 I'm like most of the time you don't get hit by anyways.
00:35:55.280	 If you actually use it though, be a visitor item to learn.
00:35:57.280	 Let's see other things like...
00:35:59.280	 If I could...
00:36:00.000	 remember exactly where the item boxes were?
00:36:03.000	 that'd be such an advantage.
00:36:18.000	 I think I am the only guy.
00:36:30.000	 I think I'm the only guy who's been here.
00:36:34.000	 Did it start me here like every fucking dead?
00:36:37.000	 It's weird.
00:36:51.000	 Dude, I've been hit by a red shell every single time I've taken that turn.
00:37:00.000	 I don't want to use it to set.
00:37:10.000	 I don't want to use it to set.
00:37:12.000	 We're gonna breathe a little bit.
00:37:24.000	 Bitch.
00:37:30.000	 I'm gonna die.
00:37:38.000	 He got a fucking speed booster.
00:37:40.000	 He was going too fast.
00:37:43.000	 Damn it.
00:38:00.000	 and
00:38:10.000	 any chance we get a deathstrain in two stream you guys seriously asking that last time I
00:38:15.640	 streamed what do you guys pay to advertise there's just something is this
00:38:20.440	 sort of some sort of stealth advertising there cannot be that many people that
00:38:24.080	 actually want to watch this shitty ass game
00:38:26.000	 did it just come out yeah I'm still playing that gotcha you like the first one it's
00:38:40.640	 okay it's fine it's a good enough strange strange way there's no way I would have
00:38:47.280	 finished it if I wasn't streaming yeah I like super he's in my uh fantasy football league
00:39:00.640	 super is normally good at fantasy football the only problem is that for whatever reason
00:39:17.600	 he likes to keep like five defenses on his team and if his team ever got hit by injuries and
00:39:24.160	 he wasn't just insanely lucky it would really hurt him but he's just like nope my team don't
00:39:29.920	 get injured it just doesn't happen and you know what he's right his team doesn't get
00:39:33.360	 injured it's a miracle because it's fucking fantasy football and your team always gets
00:39:39.520	 injured he just like yep sick one Barclay he's not gonna get hurt this year I just got a good
00:39:44.960	 feeling about it I wouldn't say I'm salty but it uh if I
00:39:59.760	 just
00:40:00.000	 say someone in that fantasy bowl league that I have a rivalry with
00:40:03.180	 the 10.
00:40:07.180	 Because I always play him in the playoffs.
00:40:23.900	 One year I had the most insane team ever.
00:40:27.620	 Like, I don't all the years we've done fantasy, but both was the strongest team.
00:40:32.660	 And, um, it lost a super in the playoffs because TJ Hogginson dropped like 57 on me.
00:40:42.100	 That's, is so fucked up.
00:40:46.780	 I still hate TJ Hogginson.
00:40:57.700	 I think that was the first year Tyre Hill went to the Dolphins.
00:41:05.700	 So, like, three years ago, maybe?
00:41:26.700	 I was like, I'm gonna do something.
00:41:28.700	 Dude, who the fuck is throwing these things backwards?
00:41:32.700	 Oh, my god.
00:41:36.700	 I really needed that for that turn, but I couldn't... shit.
00:42:00.000	 and
00:42:07.000	 I'm probably not going to play that Uma moves some mooney game I have no idea to pronounce it I was excited about it but
00:42:15.000	 I'm playing that other gacha and I'm not degenering after playing multiple gacha at the same time so
00:42:21.000	 that game lost its window
00:42:25.000	 maybe look Mario play it
00:42:39.000	 I don't know how to do any of the weird shit on these tracks other than like three so I'm just trying to race it consistently
00:42:47.000	 I'm not doing anything too stupid
00:42:53.000	 I'm definitely noticing like more of the rails and stuff
00:42:59.000	 but it's just hard with like all the chaos in Mario Kart like to just like randomly decide like oh yeah I'm totally gonna jump on that thing
00:43:07.000	 because if you miss it like all of a sudden you're kind of in the dirt and you fucked up your jump
00:43:12.000	 and
00:43:19.000	 that
00:43:23.000	 are you that it's like not even faster
00:43:28.000	 where is Sam's cool sput
00:43:33.000	 you
00:43:40.000	 discord only has one user and it's a mod
00:43:46.000	 I've not got my discord in probably five years
00:43:49.000	 the last time I wanted my discord it was to add
00:44:00.000	 message everyone and say hey can I borrow a PBE account?
00:44:09.220	 Now, you guys are allowed to do the fast strats on this map.
00:44:12.220	 All right, that's cheating.
00:44:15.220	 Then Teno didn't allow that.
00:44:18.460	 It's gonna get patched.
00:44:30.000	 Who knew there was gonna be a turn there?
00:44:41.840	 They never have 180 degree turns on these maps anymore.
00:44:45.800	 It's always 90 degrees.
00:44:49.320	 Shits blown my mind.
00:44:53.320	 He's so mighty fight.
00:44:57.320	 Get out of here.
00:45:02.320	 I don't need a get.
00:45:12.320	 I don't need a get.
00:45:16.320	 I should use it a little bit earlier so I could hit the Zidin's.
00:45:40.320	 Oh my god.
00:45:41.320	 The lines.
00:45:51.920	 We really do have no one in this lobby that knows any of the fucking super secrets on this
00:45:56.160	 map.
00:45:57.160	 We really are a bunch of fucking news.
00:46:00.000	 later pussy
00:46:05.000	 the fuck is we is everyone's stream saved me in this stupid lobby
00:46:19.360	 he
00:46:21.360	 and
00:46:25.360	 and
00:46:32.360	 wow, he man three two on boom actually but believe
00:46:36.360	 a beat
00:46:39.360	 I beat Wanky for it.
00:46:51.360	 Doing multiple tricks isn't any more helpful than one trick.
00:46:53.860	 I don't think so.
00:46:57.860	 You mean like when you're just in the air the entire time, like doing this?
00:47:00.860	 Yeah it doesn't do anything.
00:47:01.860	 The only thing that's doing is reposition you, which is useful sometimes.
00:47:09.360	 I'm excited for the new one.
00:47:16.360	 But I don't think I'll be as autistic with the new one as I was with the old one because it's pretty hard to top how autistic I was with the old one.
00:47:39.360	 I bought a brand new Xbox 360 controller.
00:47:46.360	 Or wait no I might have an Xbox one I can't remember it.
00:47:49.360	 I like I think it was Xbox one.
00:47:51.360	 And I bought it for Tony Hawk and I broke it in the time I was playing Tony Hawk because I was just ripping the controller and this really...
00:48:00.000	 weird way and when I was really stressed and playing I was like
00:48:05.840	 holding the controller it really tight and certain spots and then the thing just got like like the
